"Search Parameters"	"Location Name"	"Latitude"	"Longitude"	"Deaths"
	"AUSTRALIA:  NEWCASTLE"	-32.967	151.619	12
	"ALGERIA:  ALGIERS, CHERCHELL, TIPAZA"	36.788	2.448	30
	"CHINA:  SHANXI AND HEBEI PROVINCES; DATONG"	39.893	113.884	29
	"CALIFORNIA:  LOMA PRIETA"	37.036	-121.883	62
	"INDONESIA:  KURIMA DISTRICT, BALIEM RIVER"	-4.511	139.022	120
	"IRAN:  DO GOBADAN, FARS, YASUJ"	30.167	50.921	114
	"CHINA:  SICHUAN PROVINCE:  BATANG"	29.987	99.195	11
	"TAJIKISTAN:  SHARORA, GISSAR"	38.465	68.694	274
	"ARMENIA:  LENINAKAN, SPITAK, KIROVAKAN"	40.987	44.185	25000
	"CHINA:  YUNNAN PROVINCE"	22.789	99.611	738
	"NEPAL-INDIA:  KATHMANDU, BIHAR"	26.755	86.616	998
	"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG"	-8.247	124.155	125
	"ECUADOR:  NAPO PROVINCE, QUITO, TULCAN"	0.083	-77.785	5000
	"TAIWAN:  TAIPEI, HUALIEN"	23.901	121.574	15
	"EL SALVADOR:  SAN SALVADOR"	13.827	-89.118	1100
	"GREECE:  KALAMI, LAKONIA, ZAKINTHOS"	37.014	22.176	20
	"TURKEY:  DOGANSEHIR-GOLBASHI, KAPIDERE"	37.993	37.806	15
	"PERU:  CUZCO"	-13.41	-71.785	16
	"TAJIKISTAN:  KAPTOLYUK, KAYRAKKUM, GAFUROV"	40.301	69.823	29
	"MEXICO:  MICHOACAN:  MEXICO CITY"	18.19	-102.533	9500
	"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI"	-4.13	136.049	10
	"CHINA:  S XINJIANG:  WUQUA-SHUFU"	39.431	75.224	71
	"CHINA:  YUNNAN PROVINCE"	25.926	102.871	23
	"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO"	-33.132	-71.708	180
